"","Area Name","Median Value of Owner Occupied Units","Persons Living Outside This County Five Years Ago","Population Estimate (BEA per Capita Denominator)","Average Annual Employment by Place of Work","Average Annual Wage per Worker","Employment by Place of Residence","Estimated Median Family Income(HUD)","College Graduates Age 25 Up","High School Graduates Age 25 Up","SAT Grand Total Average Score","Majority White","Part of the State"
"1","Alamance County",138100,9270,158276,58070,37143,74322,53300,22391,29555,1414,1,"West"
"2","Alexander County",124600,1780,37325,8959,31027,16350,53200,3444,10309,1444,1,"West"
"3","Alleghany County",146600,339,10837,3358,28335,4138,40900,1393,2702,1415,1,"West"
"4","Anson County",76900,1342,25759,7494,32239,10241,41500,1784,7556,1216,0,"West"
"5","Ashe County",151500,868,27020,6802,32076,11444,50900,3796,6371,1452,1,"West"
"6","Avery County",137100,1843,17689,6655,29786,7178,51200,2470,3978,1425,1,"West"
"7","Beaufort County",115100,1381,47651,15654,35925,18592,51900,5833,11186,1348,1,"East"
"8","Bertie County",78400,1093,20199,6423,30028,7953,44500,1477,5939,1156,0,"East"
"9","Bladen County",85000,1591,34318,12914,33578,13330,44100,3301,7963,1206,0,"East"
"10","Brunswick County",182500,9361,122765,29881,36719,45051,63100,23163,24226,1440,1,"East"
"11","Buncombe County",192400,18210,253178,123856,39726,124830,55900,63747,43927,1523,1,"West"
"12","Burke County",113100,4801,88842,29505,34917,37199,53200,10794,18704,1504,1,"West"
"13","Cabarrus County",167100,12032,196762,68506,38827,90744,67200,33517,34456,1488,1,"West"
"14","Caldwell County",108100,3129,81287,23334,34241,33233,53200,7881,18228,1447,1,"West"
"15","Camden County",209800,730,10309,1398,38411,4205,73500,1531,1588,1455,1,"East"
"16","Carteret County",196800,4483,68879,22745,31121,29375,64100,12858,14072,1541,1,"East"
"17","Caswell County",98400,1647,22941,2975,31990,9058,51000,1964,5968,1336,0,"West"
"18","Catawba County",132700,8042,155056,83083,40081,70227,53200,22976,32029,1456,1,"West"
"19","Chatham County",223500,4191,70928,14224,34387,30871,67400,18155,11509,1441,1,"East"
"20","Cherokee County",142600,1343,27178,7876,30789,10417,46500,3802,6790,1404,1,"West"
"21","Chowan County",135900,717,14394,4556,34498,5213,46100,2112,3541,1295,0,"East"
"22","Clay County",147900,688,10703,1983,29277,3861,48600,1680,2327,1513,1,"West"
"23","Cleveland County",104400,3443,96879,33946,36838,43268,50300,10563,22835,1393,1,"West"
"24","Columbus County",83900,3422,56694,15454,33013,20964,48000,4748,12486,1263,0,"East"
"25","Craven County",154500,12219,103451,38776,40572,38466,59700,14965,18763,1432,1,"East"
"26","Cumberland County",129300,31947,323838,116988,39622,117177,54300,46486,51865,1373,0,"East"
"27","Currituck County",229900,1144,25263,6648,34122,11696,70900,3542,5049,1504,1,"East"
"28","Dare County",283400,2126,35663,19385,30727,18686,70200,7563,6292,1492,1,"East"
"29","Davidson County",132200,7398,164622,41838,36460,74994,56100,21196,37698,1392,1,"West"
"30","Davie County",169300,1952,41753,11772,33114,19055,56100,7134,9262,1522,1,"West"
"31","Duplin County",87900,3637,59159,20105,32101,25066,44500,4223,11886,1302,0,"East"
"32","Durham County",183800,29408,300952,191274,66032,146969,67400,88719,33735,1403,0,"East"
"33","Edgecombe County",82200,3441,54150,16457,34396,20777,48000,3957,13312,1303,0,"East"
"34","Forsyth County",151100,21540,369019,180479,49481,168910,56100,78674,61311,1454,0,"West"
"35","Franklin County",129500,4163,63710,11367,39361,27360,78800,8205,13259,1410,1,"East"
"36","Gaston County",125100,9464,213442,70055,38533,97678,67200,27142,42990,1413,1,"West"
"37","Gates County",144300,415,11431,1424,31938,4956,61800,1084,3069,1364,0,"East"
"38","Graham County",120700,391,8616,1950,35008,2753,42200,863,2100,1458,1,"West"
"39","Granville County",142600,4359,58674,20306,41787,26956,59200,7055,12436,1404,0,"East"
"40","Greene County",87700,2391,21134,4108,31054,8904,52400,1483,4638,1270,0,"East"
"41","Guilford County",156100,29180,517600,275949,46078,242293,54000,114006,82049,1440,0,"West"
"42","Halifax County",86600,2205,52456,15678,32653,18952,44000,4679,13221,1236,0,"East"
"43","Harnett County",135400,13313,128140,23436,32857,46224,55100,15279,24066,1374,1,"East"
"44","Haywood County",161300,3894,59868,16736,34268,26471,55000,10513,12561,1506,1,"West"
"45","Henderson County",182300,7617,112655,35281,36884,47948,55900,23038,21268,1524,1,"West"
"46","Hertford County",83000,2264,24184,8907,35507,8605,45200,2354,5546,1138,0,"East"
"47","Hoke County",141500,7140,52671,7837,32439,17705,55900,6108,8716,1315,0,"East"
"48","Hyde County",90600,602,5526,2161,30328,1999,48700,427,1460,1448,0,"East"
"49","Iredell County",166300,8788,169866,69537,46093,77499,59600,28781,31252,1516,1,"West"
"50","Jackson County",171900,4547,41265,12914,34551,17383,51700,7685,7182,1473,1,"West"
"51","Johnston County",145500,9342,185660,45811,36497,82965,78800,23608,35314,1469,1,"East"
"52","Jones County",93900,670,10013,1541,33620,4299,51300,980,2326,1390,0,"East"
"53","Lee County",136900,4067,59660,25131,38322,23202,57900,7999,10332,1405,1,"East"
"54","Lenoir County",92500,2356,58106,27695,34702,25881,46800,5117,12820,1326,0,"East"
"55","Lincoln County",153200,4949,81035,21647,36005,38928,56700,11198,16856,1480,1,"West"
"56","Macon County",165600,1751,34201,10840,31751,14146,48900,5704,7543,1488,1,"West"
"57","Madison County",159900,1601,21139,3793,31481,9076,55900,3227,4609,1465,1,"West"
"58","Martin County",85500,823,23357,6935,28903,8978,48400,2304,6337,1321,0,"East"
"59","McDowell County",98400,1658,44989,16330,33092,19924,49300,4301,11775,1420,1,"West"
"60","Mecklenburg County",184800,74907,1034070,637378,62345,528338,67200,275628,124536,1472,0,"West"
"61","Mitchell County",141100,807,15246,4819,32583,5921,46200,1888,3751,1490,1,"West"
"62","Montgomery County",90900,1371,27548,9231,33590,10939,43800,2736,5678,1304,1,"West"
"63","Moore County",199100,4882,94352,33120,37044,35869,66200,21519,17056,1504,1,"West"
"64","Nash County",118600,5952,93919,40641,38550,40400,48000,12389,21856,1326,0,"East"
"65","New Hanover County",214300,17917,220358,105990,41467,105740,63100,53029,31718,1511,1,"East"
"66","Northampton County",82500,1759,20426,5303,34052,7292,38500,1712,5450,1164,0,"East"
"67","Onslow County",154000,26085,186311,48232,32321,60905,50000,18884,28240,1419,1,"East"
"68","Orange County",272600,18858,141354,66980,52163,71673,67400,47769,13159,1700,1,"East"
"69","Pamlico County",150800,1153,12781,3419,28034,4988,58000,1908,3182,1396,1,"East"
"70","Pasquotank County",158800,2834,39829,15686,35860,15885,58000,5167,7982,1329,0,"East"
"71","Pender County",153400,5378,57611,10952,32312,23879,55700,8168,12032,1463,1,"East"
"72","Perquimans County",165800,933,13440,1969,32173,4752,53400,1622,3483,1369,1,"East"
"73","Person County",115500,1314,39259,10022,36967,17200,54200,4035,9709,1406,1,"East"
"74","Pitt County",135300,16743,175842,74374,41924,81837,53000,30393,25853,1417,0,"East"
"75","Polk County",190700,917,20366,4986,29592,8119,53000,4835,4194,1539,1,"West"
"76","Randolph County",120700,5083,142799,44385,34208,64362,54000,14070,34029,1408,1,"West"
"77","Richmond County",78600,1936,45437,13505,32958,15451,42600,3940,11194,1267,0,"West"
"78","Robeson County",70200,5467,134197,39031,31592,46627,35700,10862,28406,1255,0,"East"
"79","Rockingham County",106700,3906,91758,26042,34796,39445,45600,8997,23845,1373,1,"West"
"80","Rowan County",128300,7405,139142,46871,40878,60677,67200,16533,30819,1384,1,"West"
"81","Rutherford County",106600,2334,66390,18159,32245,23109,40200,7649,15045,1462,1,"West"
"82","Sampson County",87600,3879,63724,18345,34629,27878,48200,5257,14147,1338,0,"East"
"83","Scotland County",79100,2525,35509,11804,35058,10545,38400,3758,8077,1268,0,"West"
"84","Stanly County",128200,2960,60714,18798,32532,27095,59000,6759,14296,1444,1,"West"
"85","Stokes County",117400,1636,46351,6967,29957,21056,56100,4550,12787,1424,1,"West"
"86","Surry County",115500,2080,72743,28245,32813,31180,50800,7575,15842,1507,1,"West"
"87","Swain County",126700,630,14434,9590,33686,6008,57700,1563,3073,1406,0,"West"
"88","Transylvania County",192000,1995,33211,8478,32183,12681,54100,7287,6978,1504,1,"West"
"89","Tyrrell County",98800,522,4070,1146,29421,1429,41200,250,1159,1427,0,"East"
"90","Union County",197400,13263,222742,59371,40763,105152,67200,44628,33743,1532,1,"West"
"91","Vance County",97900,2003,44568,14961,32990,16440,44600,3384,11142,1261,0,"East"
"92","Wake County",234000,68242,1024198,511542,52985,506945,78800,312039,106801,1575,1,"East"
"93","Warren County",96400,1575,20155,3425,29895,6599,46700,2274,5130,1241,0,"East"
"94","Washington County",82700,239,12385,3500,39068,4536,43300,906,3307,1167,0,"East"
"95","Watauga County",231700,8311,52906,22294,34129,26000,63600,11057,5889,1572,1,"West"
"96","Wayne County",110400,8631,124132,42319,35020,50336,52600,14959,24122,1321,0,"East"
"97","Wilkes County",114800,1780,68502,21209,34016,27779,44200,6255,15694,1442,1,"West"
"98","Wilson County",116300,3992,81714,36882,40510,33833,51300,9887,18062,1373,0,"East"
"99","Yadkin County",124400,1430,37585,9760,32020,17076,56100,3165,9075,1428,1,"West"
"100","Yancey County",140500,802,17587,3571,29255,6888,47600,2500,4311,1545,1,"West"
