"","Median Value of Owner Occupied Units","Persons Living Outside This County Five Years Ago","Population Estimate (BEA per Capita Denominator)","White alone","Average Annual Employment by Place of Work","Average Annual Wage per Worker","Employment by Place of Residence","Estimated Median Family Income(HUD)","College Graduates Age 25 Up","High School Graduates Age 25 Up","SAT Grand Total Average Score"
"Median Value of Owner Occupied Units",NA,0.000191751928744432,0.0015168688988878,6.8025325816734e-08,0.00230179083374216,0.000326564112243632,0.00099923084860265,0,0.00017336874000673,0.0160015608144979,0
"Persons Living Outside This County Five Years Ago",0.000191751928744432,NA,0,0.171766552715026,0,0,0,1.80810021308542e-05,0,0,0.00733303028559384
"Population Estimate (BEA per Capita Denominator)",0.0015168688988878,0,NA,0.273086442029217,0,0,0,2.32536727207133e-05,0,0,0.00932795998869373
"White alone",6.8025325816734e-08,0.171766552715026,0.273086442029217,NA,0.198336391022228,0.0721673217768795,0.339582069386644,0.00288798871381202,0.376539897730208,0.311347861544073,0
"Average Annual Employment by Place of Work",0.00230179083374216,0,0,0.198336391022228,NA,0,0,0.000198719291288896,0,0,0.0194071599165551
"Average Annual Wage per Worker",0.000326564112243632,0,0,0.0721673217768795,0,NA,0,7.50923890624478e-07,0,0,0.0185673880719359
"Employment by Place of Residence",0.00099923084860265,0,0,0.339582069386644,0,0,NA,1.63080665700477e-05,0,0,0.00694236397101311
"Estimated Median Family Income(HUD)",0,1.80810021308542e-05,2.32536727207133e-05,0.00288798871381202,0.000198719291288896,7.50923890624478e-07,1.63080665700477e-05,NA,1.66453127727895e-05,9.34373971501756e-05,1.65185665146339e-09
"College Graduates Age 25 Up",0.00017336874000673,0,0,0.376539897730208,0,0,0,1.66453127727895e-05,NA,0,0.00445012947519619
"High School Graduates Age 25 Up",0.0160015608144979,0,0,0.311347861544073,0,0,0,9.34373971501756e-05,0,NA,0.0205457816356909
"SAT Grand Total Average Score",0,0.00733303028559384,0.00932795998869373,0,0.0194071599165551,0.0185673880719359,0.00694236397101311,1.65185665146339e-09,0.00445012947519619,0.0205457816356909,NA
